Timestamp,Plot 1,Plot 2,Plot 3,Plot 4,Plot 5,Plot 6,Plot 7,Plot 8,Plot 9,Plot 10,Plot 11,Plot 12,Plot 13,Plot 14,Plot 15,Plot 16,Plot 17,Plot 18
4/10/2025 16:42:14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/10/2025 16:43:13,2,4,4,4,8,9,9,6,1,10,9,6,4,4,7,1,7,10
4/10/2025 16:43:47,5,1,1,1,8,7,6,2,1,4,3,2,2,1,2,1,3,7
4/10/2025 17:22:26,1,1,1,1,1,1,1,8,6,5,9,2,5,8,5,5,9,6
4/10/2025 17:24:26,1,5,5,2,4,7,9,9,4,10,10,7,7,7,7,1,5,7
4/10/2025 17:25:30,4,3,2,1,7,8,8,4,1,9,9,5,2,2,2,1,3,9
4/10/2025 17:30:31,8,5,7,8,10,7,5,4,5,2,5,7,8,9,8,2,9,7
4/10/2025 17:32:17,6,3,2,3,4,4,1,1,4,5,10,10,9,2,8,4,4,10
4/10/2025 17:42:14,10,10,8,4,10,10,10,8,4,10,10,10,10,7,10,5,6,10
4/10/2025 17:58:45,1,1,1,1,7,7,7,7,1,10,10,7,6,4,7,4,7,9
4/10/2025 18:51:31,7,6,3,1,7,7,8,9,1,10,10,10,10,6,6,1,5,6
4/11/2025 10:50:59,3,3,1,1,7,8,8,2,1,9,10,5,6,2,3,1,3,7
4/12/2025 10:53:12,1,1,1,2,4,8,8,10,1,8,4,5,10,1,10,1,10,10
4/13/2025 10:46:35,4,3,6,1,8,7,6,6,1,8,10,4,4,2,3,1,6,9
4/13/2025 10:47:41,2,1,2,1,6,8,8,3,1,6,8,3,2,1,5,1,7,8
4/13/2025 10:48:48,2,2,2,1,7,10,10,6,2,9,7,3,3,2,2,1,6,10
4/13/2025 10:49:43,5,4,2,1,8,8,7,4,2,8,6,3,2,1,3,1,9,8
4/13/2025 10:50:29,3,2,1,1,10,10,10,7,1,8,8,7,6,5,4,1,5,10
4/13/2025 10:51:44,2,4,2,1,10,10,10,8,1,6,4,3,3,2,3,1,7,9
4/13/2025 10:52:23,6,4,2,1,10,10,10,7,1,6,8,4,3,2,3,1,5,8
4/13/2025 10:56:17,3,2,1,1,10,10,8,6,3,7,9,4,4,2,2,1,3,9
4/13/2025 10:59:01,2,2,1,1,10,10,10,6,1,9,8,6,3,1,4,1,3,10
4/13/2025 11:00:19,3,2,1,1,10,10,10,6,1,9,8,4,3,1,3,1,2,9
4/13/2025 11:02:49,2,2,1,1,8,10,10,4,1,8,5,1,1,1,1,1,4,10
4/13/2025 11:03:36,5,2,2,1,10,10,9,4,1,8,8,3,2,1,2,1,6,9
4/13/2025 11:04:38,8,3,2,1,9,9,10,2,1,9,10,7,3,2,3,1,3,9
4/13/2025 11:05:23,4,3,2,1,10,6,10,8,1,9,9,5,3,2,4,1,4,10
4/13/2025 11:06:06,10,10,6,5,10,10,10,10,1,10,8,5,6,3,3,1,4,10
4/13/2025 11:07:01,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
4/13/2025 11:07:43,9,4,2,1,7,8,7,5,1,8,7,4,5,2,8,1,5,10
4/13/2025 11:08:30,10,7,3,1,8,10,10,5,1,6,7,3,3,1,3,1,5,9
4/13/2025 11:09:16,10,5,3,1,8,9,9,5,1,7,7,5,3,2,2,1,4,10
4/13/2025 11:10:02,4,3,2,1,6,6,7,3,1,3,3,2,2,1,2,1,2,6
4/19/2025 19:43:03,6,3,1,1,8,10,7,5,1,7,5,3,3,2,6,1,4,8
4/19/2025 19:43:43,5,5,2,1,7,8,8,5,1,8,7,5,5,3,3,1,5,10
4/19/2025 19:44:26,6,3,2,1,8,10,10,8,1,6,5,4,3,2,3,1,5,9
4/19/2025 19:46:05,8,4,2,1,8,10,8,5,1,5,7,3,3,1,3,1,3,9
4/19/2025 19:46:45,8,2,2,1,8,9,9,3,1,8,8,5,3,2,3,1,5,10
4/19/2025 19:47:26,7,4,3,1,9,7,4,3,1,8,7,3,2,1,3,1,6,9
4/19/2025 19:48:00,10,7,3,1,8,10,9,4,1,8,9,4,2,1,3,1,3,10
4/19/2025 20:19:38,7,4,1,1,8,8,9,3,1,8,6,4,3,2,3,1,3,9
4/19/2025 20:21:49,6,3,2,1,9,8,8,6,1,8,7,3,3,1,2,1,6,9
4/19/2025 20:22:21,8,4,3,1,8,9,9,5,1,9,9,3,3,1,5,1,5,9
4/19/2025 20:22:53,7,2,1,1,8,9,8,3,1,9,9,4,3,3,3,1,6,8
4/19/2025 20:23:28,8,2,1,1,10,10,10,5,1,8,6,3,3,2,3,1,4,10
4/19/2025 20:24:15,6,6,3,3,8,9,8,4,1,7,9,3,3,2,2,1,6,9
4/19/2025 20:24:47,6,3,2,1,8,8,8,5,1,8,8,3,2,1,2,1,5,10
4/19/2025 20:25:45,9,3,1,1,6,8,8,3,1,9,8,1,2,1,3,1,3,10
4/19/2025 20:26:29,8,2,2,1,6,10,9,3,1,7,8,3,2,1,3,1,4,10
4/19/2025 20:27:36,6,2,2,1,9,9,10,4,1,9,9,2,3,1,2,1,4,10
4/19/2025 20:28:45,8,2,2,1,10,9,9,3,1,9,10,4,2,1,2,1,4,10
4/19/2025 20:33:22,5,2,1,1,9,9,10,4,1,8,9,3,2,1,2,1,4,10